,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.038759686,0.013192611
1,-1.8333333,0.032362457,0.012360938
2,-1.1666667,0.03134796,0.0122100115
3,-0.49999988,0.022026433,0.01048218
4,0.16666663,0.01805054,0.009487665
5,0.8333335,0.019880714,0.009970089
6,1.5000001,0.02132196,0.0103199165
7,2.1666667,0.02347418,0.010799136
8,2.8333335,0.026246715,0.011350736
9,3.5,0.028248586,0.011709601
10,4.166667,0.030487802,0.012077293
11,4.8333335,0.03205128,0.01231527
12,5.5,0.03333333,0.012499999
13,6.166667,0.034246575,0.0126262605
14,6.8333335,0.034965035,0.012722645
15,7.5,0.036900364,0.012970167
