,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.003047984,0.00244701
1,-1.8333333,0.0066630533,0.004327477
2,-1.1666667,0.0128412,0.0062373593
3,-0.49999988,0.010123711,0.0054838047
4,0.16666663,0.01767586,0.0070407535
5,0.8333335,0.020351263,0.007323776
6,1.5000001,0.024416048,0.0076191295
7,2.1666667,0.026313711,0.0076187365
8,2.8333335,0.026883164,0.0076323203
9,3.5,0.027658945,0.007633168
10,4.166667,0.028105412,0.0076342914
11,4.8333335,0.03028009,0.007738094
12,5.5,0.02911745,0.0077112787
13,6.166667,0.029843617,0.0077567734
14,6.8333335,0.03131295,0.00785342
15,7.5,0.030987574,0.0078616245
