,reduced lam,ESS,ESS (with warmup)
0,-2.5,0.012419018,0.0062056263
1,-1.8333333,0.0089465715,0.005200918
2,-1.1666667,0.01011228,0.005522393
3,-0.49999988,0.010532709,0.005599731
4,0.16666663,0.017103372,0.006959495
5,0.8333335,0.02145631,0.007417503
6,1.5000001,0.023825217,0.007552832
7,2.1666667,0.02533955,0.0075814095
8,2.8333335,0.027857479,0.007689601
9,3.5,0.026704408,0.007581218
10,4.166667,0.02948055,0.007748213
11,4.8333335,0.029700322,0.0077265324
12,5.5,0.029118298,0.007689256
13,6.166667,0.030993015,0.0077757775
14,6.8333335,0.03137878,0.007823399
15,7.5,0.0308515,0.007866397
