model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Gaussian_log_100,2,mclmc:st3,2.5968761444091797,0.48605406284332275,omelyan,standard,1.0,False,0.0,0.03273322433233261,inf,inf,inf,20000,4,False,1,0.014295925386250019
Gaussian_log_100,2,mclmc:st3,2.7145779132843018,0.5118212699890137,omelyan,standard,1.0,False,0.0,0.04264392331242561,inf,inf,inf,20000,4,False,2,0.02557544782757759
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.539585113525391,0.7478988170623779,omelyan,standard,0.9075106978416443,False,0.0,0.01599024422466755,inf,inf,inf,20000,4,max,3,0.010591608472168446
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.143526077270508,0.7725855112075806,omelyan,standard,0.9047714471817017,False,0.0,0.02913074940443039,inf,inf,inf,20000,4,avg,3,0.01386147178709507
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.487454414367676,0.7124147415161133,omelyan,standard,0.9040257930755615,False,0.8,0.029392527416348457,inf,inf,inf,20000,4,max,3,0.018139388412237167
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.020148277282715,0.7334367036819458,omelyan,standard,0.9052222967147827,False,0.8,0.01288934051990509,inf,inf,inf,20000,4,avg,3,0.012118550017476082
Gaussian_log_100,2,adjusted_hmc:0.91.3,4.331191539764404,1.8795273303985596,omelyan,standard,0.8705275058746338,False,0.0,0.04427522420883179,inf,inf,inf,20000,4,max,3,0.012761681340634823
Gaussian_log_100,2,adjusted_hmc:0.91.3,4.1002302169799805,1.9062700271606445,omelyan,standard,0.8453502058982849,False,0.0,0.03575503081083298,inf,inf,inf,20000,4,avg,3,0.01066090352833271
Gaussian_log_100,2,mclmc:st3,2.708733081817627,0.3651381731033325,mclachlan,standard,1.0,False,0.0,0.01482359878718853,inf,inf,inf,20000,4,False,1,0.011967448517680168
Gaussian_log_100,2,mclmc:st3,2.6912105083465576,0.39091211557388306,mclachlan,standard,1.0,False,0.0,0.06265664100646973,inf,inf,inf,20000,4,False,2,0.03526093065738678
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.4062018394470215,0.5540228486061096,mclachlan,standard,0.8989018797874451,False,0.0,0.007721397094428539,inf,inf,inf,20000,4,max,3,0.00471509201452136
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.133175373077393,0.5463971495628357,mclachlan,standard,0.9058698415756226,False,0.0,0.02223297394812107,inf,inf,inf,20000,4,avg,3,0.019195329397916794
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.561581611633301,0.516956090927124,mclachlan,standard,0.9061335325241089,False,0.8,0.040759723633527756,inf,inf,inf,20000,4,max,3,0.012370308861136436
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.2676100730896,0.5230780243873596,mclachlan,standard,0.9057198762893677,False,0.8,0.04314147308468819,inf,inf,inf,20000,4,avg,3,0.03157778084278107
Gaussian_log_100,2,adjusted_hmc:0.91.3,4.4939117431640625,0.7687971591949463,mclachlan,standard,0.7932491898536682,False,0.0,0.0027997219003736973,inf,inf,inf,20000,4,max,3,0.002036464400589466
Gaussian_log_100,2,adjusted_hmc:0.91.3,4.157475471496582,0.7769719958305359,mclachlan,standard,0.7392268180847168,False,0.0,0.0012658844934776425,inf,inf,inf,20000,4,avg,3,0.0008971188799478114
Gaussian_log_100,2,mclmc:st3,2.483536720275879,0.19988253712654114,velocity_verlet,standard,1.0,False,0.0,0.03454231470823288,inf,inf,inf,20000,4,False,1,0.032299742102622986
Gaussian_log_100,2,mclmc:st3,2.7019662857055664,0.19443781673908234,velocity_verlet,standard,1.0,False,0.0,0.08006405085325241,inf,inf,inf,20000,4,False,2,0.04830917716026306
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.525276184082031,0.35151827335357666,velocity_verlet,standard,0.9034556746482849,False,0.0,0.01710868440568447,inf,inf,inf,20000,4,max,3,0.011339185759425163
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.293037414550781,0.3533559739589691,velocity_verlet,standard,0.9053192734718323,False,0.0,0.015515010803937912,inf,inf,inf,20000,4,avg,3,0.01400844193994999
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.357994079589844,0.3304576575756073,velocity_verlet,standard,0.9072531461715698,False,0.8,0.047668781131505966,inf,inf,inf,20000,4,max,3,0.024528594687581062
Gaussian_log_100,2,adjusted_mclmc:0.91.3,4.184645175933838,0.33208703994750977,velocity_verlet,standard,0.9069610238075256,False,0.8,0.08618828654289246,inf,inf,inf,20000,4,avg,3,0.020921694114804268
Gaussian_log_100,2,adjusted_hmc:0.91.3,4.592710494995117,0.5302001237869263,velocity_verlet,standard,0.7467237114906311,False,0.0,0.017126817256212234,inf,inf,inf,20000,4,max,3,0.007160964421927929
Gaussian_log_100,2,adjusted_hmc:0.91.3,3.9886865615844727,0.5321187973022461,velocity_verlet,standard,0.7435169219970703,False,0.0,0.014333109371364117,inf,inf,inf,20000,4,avg,3,0.010136724449694157
Gaussian_log_100,2,nuts,0.0,0.0,velocity_verlet,standard,0.8489862084388733,False,0.0,0.027767730876803398,inf,inf,inf,20000,4,,-1,0.014782821759581566
