model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Brownian,32,mclmc:st3,1.4313302040100098,0.4312499761581421,omelyan,standard,1.0,False,0.0,0.0,3.905819892883301,0.04395226761698723,0.5819867849349976,40000,128,False,1,0.0
Brownian,32,mclmc:st3,1.107071876525879,0.4524795413017273,omelyan,standard,1.0,False,0.0,0.0,4.0981903076171875,0.03160840645432472,0.6818118691444397,40000,128,False,2,0.0
Brownian,32,adjusted_mclmc:0.91.3,2.0441343784332275,0.5553865432739258,omelyan,standard,0.8894058465957642,False,0.0,0.025062119588255882,0.3888179659843445,0.15278539061546326,0.3773687183856964,40000,128,max,3,0.0032241917215287685
Brownian,32,adjusted_mclmc:0.91.3,1.0391672849655151,0.6283752918243408,omelyan,standard,0.8756346702575684,False,0.0,0.021153666079044342,0.2105662226676941,0.0029519018717110157,0.119595006108284,40000,128,avg,3,0.002706641796976328
Brownian,32,adjusted_mclmc:0.91.3,1.9789303541183472,0.535698413848877,omelyan,standard,0.8934013843536377,False,0.8,0.01731088198721409,0.3437208831310272,0.0021164552308619022,0.14692293107509613,40000,128,max,3,0.003557967720553279
Brownian,32,adjusted_mclmc:0.91.3,1.0256801843643188,0.5858321189880371,omelyan,standard,0.8926997184753418,False,0.8,0.02015708014369011,0.21764862537384033,0.004615788348019123,0.14225797355175018,40000,128,avg,3,0.002562264446169138
Brownian,32,adjusted_hmc:0.91.3,1.9611377716064453,0.12695066630840302,omelyan,standard,0.879060685634613,False,0.0,0.008177297189831734,0.5157628655433655,0.18015147745609283,0.5006552934646606,40000,128,max,3,0.0010616376530379057
Brownian,32,adjusted_hmc:0.91.3,1.0783727169036865,0.13731467723846436,omelyan,standard,0.8328417539596558,False,0.0,0.015235871076583862,0.46179109811782837,0.06424757093191147,0.41910073161125183,40000,128,avg,3,0.002150795189663768
Brownian,32,mclmc:st3,2.4250500202178955,0.31317204236984253,mclachlan,standard,1.0,False,0.0,0.06468304991722107,0.2087715119123459,0.039921000599861145,0.19536447525024414,40000,128,False,1,0.012929920107126236
Brownian,32,mclmc:st3,2.374502182006836,0.31970417499542236,mclachlan,standard,1.0,False,0.0,0.06963787972927094,0.21341225504875183,0.09487122297286987,0.20718446373939514,40000,128,False,2,0.012327415868639946
Brownian,32,adjusted_mclmc:0.91.3,2.0138745307922363,0.3297516107559204,mclachlan,standard,0.8891533613204956,False,0.0,0.034754183143377304,0.36813026666641235,2.500125083315652e-05,0.0031693531200289726,40000,128,max,3,0.005494918208569288
Brownian,32,adjusted_mclmc:0.91.3,1.0339397192001343,0.37404438853263855,mclachlan,standard,0.8779327869415283,False,0.0,0.024358194321393967,0.19792865216732025,0.008151582442224026,0.12380484491586685,40000,128,avg,3,0.004569090902805328
Brownian,32,adjusted_mclmc:0.91.3,1.9547890424728394,0.32683083415031433,mclachlan,standard,0.8923783302307129,False,0.8,0.02906550094485283,0.3379800617694855,0.04038303717970848,0.3006439507007599,40000,128,max,3,0.00442637549713254
Brownian,32,adjusted_mclmc:0.91.3,1.0136926174163818,0.35722291469573975,mclachlan,standard,0.8887434005737305,False,0.8,0.020503198727965355,0.20847918093204498,0.003219118108972907,0.1226569339632988,40000,128,avg,3,0.003912239335477352
Brownian,32,adjusted_hmc:0.91.3,1.8472694158554077,0.082831472158432,mclachlan,standard,0.6795923709869385,False,0.0,0.005631804466247559,0.14014571905136108,0.013823377899825573,0.11118454486131668,40000,128,max,3,0.0005914884968660772
Brownian,32,adjusted_hmc:0.91.3,1.0470521450042725,0.08737162500619888,mclachlan,standard,0.6171203851699829,False,0.0,0.009182259440422058,0.10596290230751038,0.028262358158826828,0.08795437216758728,40000,128,avg,3,0.0009330228203907609
Brownian,32,mclmc:st3,2.233856201171875,0.14677128195762634,velocity_verlet,standard,1.0,False,0.0,0.07485029846429825,0.09575597941875458,0.023188674822449684,0.09219519793987274,40000,128,False,1,0.0120394891127944
Brownian,32,mclmc:st3,2.2160301208496094,0.15239563584327698,velocity_verlet,standard,1.0,False,0.0,0.07763975113630295,0.09984071552753448,0.043547533452510834,0.09653138369321823,40000,128,False,2,0.014671361073851585
Brownian,32,adjusted_mclmc:0.91.3,1.8710438013076782,0.16405218839645386,velocity_verlet,standard,0.8883041143417358,False,0.0,0.03477569296956062,0.3515835106372833,2.500125083315652e-05,0.0031547080725431442,40000,128,max,3,0.005930922459810972
Brownian,32,adjusted_mclmc:0.91.3,0.9946972131729126,0.17292934656143188,velocity_verlet,standard,0.8945431709289551,False,0.0,0.024124832823872566,0.21285074949264526,0.0032783050555735826,0.09023254364728928,40000,128,avg,3,0.004137519747018814
Brownian,32,adjusted_mclmc:0.91.3,1.8990249633789062,0.1543373167514801,velocity_verlet,standard,0.894006609916687,False,0.8,0.02370418980717659,0.3076227009296417,0.002577961888164282,0.13252300024032593,40000,128,max,3,0.004334261175245047
Brownian,32,adjusted_mclmc:0.91.3,0.9902768731117249,0.16308265924453735,velocity_verlet,standard,0.8878227472305298,False,0.8,0.014992025680840015,0.1909668743610382,2.500125083315652e-05,0.003085990436375141,40000,128,avg,3,0.0027513261884450912
Brownian,32,adjusted_hmc:0.91.3,1.6654281616210938,0.04976943880319595,velocity_verlet,standard,0.6038734912872314,False,0.0,0.004113536328077316,0.1389593482017517,0.010512539185583591,0.11064155399799347,40000,128,max,3,0.0006518719019368291
Brownian,32,adjusted_hmc:0.91.3,1.0335917472839355,0.05002668499946594,velocity_verlet,standard,0.6007803678512573,False,0.0,0.007258838042616844,0.13917291164398193,0.019373659044504166,0.12486255168914795,40000,128,avg,3,0.0010803097393363714
Brownian,32,nuts,0.0,0.0,velocity_verlet,standard,0.7839714288711548,False,0.0,0.018784217536449432,0.3731738328933716,2.500125083315652e-05,0.0031657300423830748,40000,128,,-1,0.0037458587903529406
