model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Gaussian_linear_1.0,7,mclmc:st3,1.3815847635269165,4.617686748504639,omelyan,standard,1.0,False,0.0,0.2469135820865631,inf,inf,inf,20000,128,False,2,0.07194244861602783
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.0,2.785848379135132,2.5325891971588135,omelyan,standard,0.9990638494491577,False,0.0,0.12804095447063446,inf,inf,inf,20000,128,max,2,0.03223726153373718
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.3,3.4369802474975586,3.1245269775390625,omelyan,standard,0.9974029064178467,False,0.0,0.14903126657009125,inf,inf,inf,20000,128,avg,2,0.03987240046262741
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.0,2.7538723945617676,2.5035200119018555,omelyan,standard,0.9988435506820679,False,0.8,0.23612748086452484,inf,inf,inf,20000,128,max,2,0.07544321566820145
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.3,3.4425511360168457,3.129591464996338,omelyan,standard,0.9964420795440674,False,0.8,0.1874413788318634,inf,inf,inf,20000,128,avg,2,0.05395197123289108
Gaussian_linear_1.0,7,mclmc:st3,2.2376723289489746,2.858375072479248,mclachlan,standard,1.0,False,0.0,0.4385964870452881,inf,inf,inf,20000,128,False,2,0.12437810748815536
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.0,2.805234670639038,2.550213098526001,mclachlan,standard,0.9860384464263916,False,0.0,0.282326340675354,inf,inf,inf,20000,128,max,2,0.08625149726867676
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.3,3.4317800998687744,3.1197996139526367,mclachlan,standard,0.9733836650848389,False,0.0,0.3223726153373718,inf,inf,inf,20000,128,avg,2,0.10926571488380432
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.0,2.756978988647461,2.5063440799713135,mclachlan,standard,0.983683705329895,False,0.8,0.5285411477088928,inf,inf,inf,20000,128,max,2,0.14952149987220764
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.3,3.4383983612060547,3.1258163452148438,mclachlan,standard,0.9688735008239746,False,0.8,0.3852079510688782,inf,inf,inf,20000,128,avg,2,0.11837119609117508
Gaussian_linear_1.0,7,mclmc:st3,2.5625343322753906,1.5540270805358887,velocity_verlet,standard,1.0,False,0.0,0.35587188601493835,inf,inf,inf,20000,128,False,2,0.10030090063810349
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.0,2.790882110595703,2.535759687423706,velocity_verlet,standard,0.91535484790802,False,0.0,0.5750653743743896,inf,inf,inf,20000,128,max,2,0.15719778835773468
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.3,3.432960033416748,2.51181960105896,velocity_verlet,standard,0.9087553024291992,False,0.0,0.5214352607727051,inf,inf,inf,20000,128,avg,2,0.17298799753189087
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.0,2.7634949684143066,2.4722659587860107,velocity_verlet,standard,0.8996269702911377,False,0.8,1.0519968271255493,inf,inf,inf,20000,128,max,2,0.3399989902973175
Gaussian_linear_1.0,7,adjusted_mclmc:0.91.3,3.438394546508789,2.3999381065368652,velocity_verlet,standard,0.906293511390686,False,0.8,0.8817369341850281,inf,inf,inf,20000,128,avg,2,0.25991499423980713
Gaussian_linear_1.0,7,nuts,0.0,0.0,velocity_verlet,standard,0.813115119934082,False,0.0,0.13870462775230408,inf,inf,inf,20000,128,,-1,0.04415902495384216
