model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,num_tuning_steps,ESS
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,9.727225303649902,mclachlan,standard,0.9679033756256104,True,0.0,0.019151514396071434,inf,inf,inf,10000,128,max,2,500,0.0
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,7.309900283813477,mclachlan,standard,0.9747674465179443,True,0.0,0.01593557745218277,inf,inf,inf,10000,128,max,2,1000,0.0
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,6.145263671875,mclachlan,standard,0.9421609044075012,True,0.0,0.018093742430210114,inf,inf,inf,10000,128,max,2,5000,0.0014027798315510154
ItemResponseTheory,501,adjusted_mclmc:0.91.0,9.298144340515137,0.3907015919685364,mclachlan,standard,0.9958925843238831,False,0.0,0.009057004004716873,inf,inf,inf,10000,128,max,2,500,0.0007678763940930367
ItemResponseTheory,501,adjusted_mclmc:0.91.0,9.246973037719727,0.4755065143108368,mclachlan,standard,0.9897571802139282,False,0.0,0.01132006011903286,inf,inf,inf,10000,128,max,2,1000,0.0009510191739536822
ItemResponseTheory,501,adjusted_mclmc:0.91.0,8.747802734375,0.6111251711845398,mclachlan,standard,0.9556852579116821,False,0.0,0.013971243053674698,inf,inf,inf,10000,128,max,2,5000,0.0012917200801894069
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,10.700990676879883,mclachlan,standard,0.9631378650665283,True,0.0,0.01736961491405964,inf,inf,inf,10000,128,avg,2,500,0.0
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,7.159427165985107,mclachlan,standard,0.974442720413208,True,0.0,0.015016607940196991,inf,inf,inf,10000,128,avg,2,1000,0.0015455825487151742
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,5.951496124267578,mclachlan,standard,0.9437118172645569,True,0.0,0.01839132234454155,inf,inf,inf,10000,128,avg,2,5000,0.0015746147837489843
ItemResponseTheory,501,adjusted_mclmc:0.91.3,6.877615451812744,0.4033052921295166,mclachlan,standard,0.9953955411911011,False,0.0,0.008143268525600433,inf,inf,inf,10000,128,avg,2,500,0.000844766793306917
ItemResponseTheory,501,adjusted_mclmc:0.91.3,7.161914825439453,0.4784783720970154,mclachlan,standard,0.9894294738769531,False,0.0,0.010332301259040833,inf,inf,inf,10000,128,avg,2,1000,0.0009950308594852686
ItemResponseTheory,501,adjusted_mclmc:0.91.3,7.342398643493652,0.6124783754348755,mclachlan,standard,0.9551488161087036,False,0.0,0.013629273511469364,inf,inf,inf,10000,128,avg,2,5000,0.0013414465356618166
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,4.80336332321167,velocity_verlet,standard,0.9336443543434143,True,0.0,0.015046479180455208,inf,inf,inf,10000,128,max,2,500,0.0
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,4.0256476402282715,velocity_verlet,standard,0.9288983345031738,True,0.0,0.02201307937502861,inf,inf,inf,10000,128,max,2,1000,0.0017063525738194585
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,3.3093745708465576,velocity_verlet,standard,0.913419246673584,True,0.0,0.021484002470970154,inf,inf,inf,10000,128,max,2,5000,0.0017049198504537344
ItemResponseTheory,501,adjusted_mclmc:0.91.0,9.51068115234375,0.27635541558265686,velocity_verlet,standard,0.9508724212646484,False,0.0,0.012259453535079956,inf,inf,inf,10000,128,max,2,500,0.0011153550585731864
ItemResponseTheory,501,adjusted_mclmc:0.91.0,9.156993865966797,0.3105986416339874,velocity_verlet,standard,0.9360307455062866,False,0.0,0.012870077975094318,inf,inf,inf,10000,128,max,2,1000,0.0011947867460548878
ItemResponseTheory,501,adjusted_mclmc:0.91.0,8.667244911193848,0.3506649136543274,velocity_verlet,standard,0.9143734574317932,False,0.0,0.01423494704067707,inf,inf,inf,10000,128,max,2,5000,0.0013630224857479334
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,4.711309432983398,velocity_verlet,standard,0.9336588978767395,True,0.0,0.018331248313188553,inf,inf,inf,10000,128,avg,2,500,0.0
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,4.038912773132324,velocity_verlet,standard,0.930016815662384,True,0.0,0.021637851372361183,inf,inf,inf,10000,128,avg,2,1000,0.0
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,3.274932622909546,velocity_verlet,standard,0.9125546813011169,True,0.0,0.017563529312610626,inf,inf,inf,10000,128,avg,2,5000,0.0015123995253816247
ItemResponseTheory,501,adjusted_mclmc:0.91.3,7.170129299163818,0.27554944157600403,velocity_verlet,standard,0.9509608745574951,False,0.0,0.010937579907476902,inf,inf,inf,10000,128,avg,2,500,0.0010442315833643079
ItemResponseTheory,501,adjusted_mclmc:0.91.3,7.268359184265137,0.3113445043563843,velocity_verlet,standard,0.9355679750442505,False,0.0,0.011246578767895699,inf,inf,inf,10000,128,avg,2,1000,0.001240551471710205
ItemResponseTheory,501,adjusted_mclmc:0.91.3,7.341285705566406,0.35188668966293335,velocity_verlet,standard,0.9134619235992432,False,0.0,0.013267184607684612,inf,inf,inf,10000,128,avg,2,5000,0.0013355978298932314
ItemResponseTheory,501,nuts,1.247657060623169,0.019804080948233604,velocity_verlet,standard,0.8379156589508057,False,0.0,0.01249843742698431,inf,inf,inf,40000,128,,-1,1000,0.0007830792455933988
ItemResponseTheory,501,nuts,3.8712615966796875,0.12383642047643661,velocity_verlet,standard,0.928631603717804,True,0.0,0.01477084867656231,inf,inf,inf,40000,128,,-1,1000,0.0011686824727803469
