model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,num_tuning_steps,ESS
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,9.872086524963379,mclachlan,standard,0.9646282196044922,True,0.0,0.015506729483604431,inf,inf,inf,40000,128,max,2,500,0.001284747151657939
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,7.201601028442383,mclachlan,standard,0.9738013744354248,True,0.0,0.022212039679288864,inf,inf,inf,40000,128,max,2,1000,0.0011704042553901672
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,6.067917823791504,mclachlan,standard,0.9428108930587769,True,0.0,0.021634899079799652,inf,inf,inf,40000,128,max,2,5000,0.001478853402659297
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,10.000224113464355,mclachlan,standard,0.962561309337616,True,0.0,0.016759300604462624,inf,inf,inf,40000,128,avg,2,500,0.0013973928289487958
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,7.905143737792969,mclachlan,standard,0.9716639518737793,True,0.0,0.01763477548956871,inf,inf,inf,40000,128,avg,2,1000,0.0013177469372749329
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,6.115233898162842,mclachlan,standard,0.9429014921188354,True,0.0,0.017070593312382698,inf,inf,inf,40000,128,avg,2,5000,0.0015014546224847436
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,4.865412712097168,velocity_verlet,standard,0.9321504235267639,True,0.0,0.020712807774543762,inf,inf,inf,40000,128,max,2,500,0.0012556292349472642
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,4.210666179656982,velocity_verlet,standard,0.9268816113471985,True,0.0,0.017271755263209343,inf,inf,inf,40000,128,max,2,1000,0.0015005175955593586
ItemResponseTheory,501,adjusted_mclmc:0.91.0,22.38302993774414,3.3053886890411377,velocity_verlet,standard,0.9132616519927979,True,0.0,0.01780848018825054,inf,inf,inf,40000,128,max,2,5000,0.001440144027583301
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,4.739755630493164,velocity_verlet,standard,0.9338256120681763,True,0.0,0.020129747688770294,inf,inf,inf,40000,128,avg,2,500,0.0011946182930842042
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,4.082629203796387,velocity_verlet,standard,0.9283439517021179,True,0.0,0.02081368863582611,inf,inf,inf,40000,128,avg,2,1000,0.00162941450253129
ItemResponseTheory,501,adjusted_mclmc:0.91.3,22.38302993774414,3.204159736633301,velocity_verlet,standard,0.9134103059768677,True,0.0,0.02025267668068409,inf,inf,inf,40000,128,avg,2,5000,0.001527381013147533
