model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Rosenbrock,16,adjusted_mclmc:0.91.0,12.256624221801758,0.5555795431137085,omelyan,standard,0.9236094951629639,False,0.0,0.0013004379579797387,inf,inf,inf,10000,128,max,3,0.0002928450994659215
Rosenbrock,16,adjusted_mclmc:0.91.3,9.34996509552002,0.5763539671897888,omelyan,standard,0.9234219789505005,False,0.0,0.0012244683457538486,inf,inf,inf,10000,128,avg,3,0.00026024834369309247
Rosenbrock,16,adjusted_mclmc:0.91.0,12.430294036865234,0.5420427322387695,omelyan,standard,0.9218997955322266,False,0.8,0.0011036120122298598,inf,inf,inf,10000,128,max,3,0.00022540385543834418
Rosenbrock,16,adjusted_mclmc:0.91.3,9.063726425170898,0.5825575590133667,omelyan,standard,0.911182701587677,False,0.8,0.000850505253765732,inf,inf,inf,10000,128,avg,3,0.0002011212200159207
Rosenbrock,16,adjusted_mclmc:0.91.0,11.145082473754883,0.36541587114334106,mclachlan,standard,0.9285542964935303,False,0.0,0.0020163871813565493,inf,inf,inf,10000,128,max,3,0.0004612838674802333
Rosenbrock,16,adjusted_mclmc:0.91.3,8.826143264770508,0.3800162076950073,mclachlan,standard,0.9203981161117554,False,0.0,0.0020199932623654604,inf,inf,inf,10000,128,avg,3,0.0004258973931428045
Rosenbrock,16,adjusted_mclmc:0.91.0,11.20462417602539,0.3634263873100281,mclachlan,standard,0.9214988946914673,False,0.8,0.0015090947272256017,inf,inf,inf,10000,128,max,3,0.00039388673030771315
Rosenbrock,16,adjusted_mclmc:0.91.3,8.79977035522461,0.3736720681190491,mclachlan,standard,0.917519211769104,False,0.8,0.0014339073095470667,inf,inf,inf,10000,128,avg,3,0.0002913089410867542
Rosenbrock,16,adjusted_mclmc:0.91.0,9.5758695602417,0.23244065046310425,velocity_verlet,standard,0.9131283760070801,False,0.0,0.002374318428337574,inf,inf,inf,10000,128,max,3,0.0005540259880945086
Rosenbrock,16,adjusted_mclmc:0.91.3,7.737380504608154,0.239185631275177,velocity_verlet,standard,0.9090338945388794,False,0.0,0.0021057308185845613,inf,inf,inf,10000,128,avg,3,0.00046722317347303033
Rosenbrock,16,adjusted_mclmc:0.91.0,8.778532028198242,0.21609893441200256,velocity_verlet,standard,0.9101294279098511,False,0.8,0.00126803875900805,inf,inf,inf,10000,128,max,3,0.00033304147655144334
Rosenbrock,16,adjusted_mclmc:0.91.3,7.542669296264648,0.2216416597366333,velocity_verlet,standard,0.9046939015388489,False,0.8,0.0013070687418803573,inf,inf,inf,10000,128,avg,3,0.0002923186111729592
Rosenbrock,16,nuts,0.0,0.0,velocity_verlet,standard,0.7864850759506226,False,0.0,0.0020080602262169123,inf,inf,inf,10000,128,,-1,0.00047735663247294724
