model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,num_tuning_steps,ESS
Rosenbrock,36,adjusted_mclmc:0.91.0,6.0,0.46569275856018066,mclachlan,standard,0.9738465547561646,True,0.0,0.0013042561477050185,inf,inf,inf,80000,128,max,2,500,0.00016345723997801542
Rosenbrock,36,adjusted_mclmc:0.91.0,6.0,0.48133358359336853,mclachlan,standard,0.9491438865661621,True,0.0,0.0018723825924098492,inf,inf,inf,80000,128,max,2,1000,0.0002624568296596408
Rosenbrock,36,adjusted_mclmc:0.91.0,6.0,0.5332186818122864,mclachlan,standard,0.9034246802330017,True,0.0,0.00333485403098166,inf,inf,inf,80000,128,max,2,5000,0.0005268293898552656
Rosenbrock,36,adjusted_mclmc:0.91.0,23.05084800720215,0.40389522910118103,mclachlan,standard,0.9737674593925476,False,0.0,0.0019882286433130503,inf,inf,inf,80000,128,max,2,500,0.000333154370309785
Rosenbrock,36,adjusted_mclmc:0.91.0,22.075092315673828,0.46078547835350037,mclachlan,standard,0.9539938569068909,False,0.0,0.0020437901839613914,inf,inf,inf,80000,128,max,2,1000,0.0003504232445266098
Rosenbrock,36,adjusted_mclmc:0.91.0,18.588607788085938,0.5373048186302185,mclachlan,standard,0.9102276563644409,False,0.0,0.0021365343127399683,inf,inf,inf,80000,128,max,2,5000,0.0003658896603155881
Rosenbrock,36,adjusted_mclmc:0.91.3,6.0,0.4776541292667389,mclachlan,standard,0.9685134887695312,True,0.0,0.001263255369849503,inf,inf,inf,80000,128,avg,2,500,0.0001625759614398703
Rosenbrock,36,adjusted_mclmc:0.91.3,6.0,0.477575421333313,mclachlan,standard,0.9510761499404907,True,0.0,0.0019781088922172785,inf,inf,inf,80000,128,avg,2,1000,0.00030090060317888856
Rosenbrock,36,adjusted_mclmc:0.91.3,6.0,0.5415350198745728,mclachlan,standard,0.902636706829071,True,0.0,0.0034454823471605778,inf,inf,inf,80000,128,avg,2,5000,0.00046427984489127994
Rosenbrock,36,adjusted_mclmc:0.91.3,12.171958923339844,0.4351009130477905,mclachlan,standard,0.9706227779388428,False,0.0,0.0015602260828018188,inf,inf,inf,80000,128,avg,2,500,0.0002653763513080776
Rosenbrock,36,adjusted_mclmc:0.91.3,13.693325996398926,0.491452693939209,mclachlan,standard,0.9485256671905518,False,0.0,0.0017552925273776054,inf,inf,inf,80000,128,avg,2,1000,0.0002867738076020032
Rosenbrock,36,adjusted_mclmc:0.91.3,14.369060516357422,0.5554876923561096,mclachlan,standard,0.9047638177871704,False,0.0,0.0017115831142291427,inf,inf,inf,80000,128,avg,2,5000,0.00033788339351303875
Rosenbrock,36,adjusted_mclmc:0.91.0,6.0,0.29751235246658325,velocity_verlet,standard,0.927151083946228,True,0.0,0.0011998192640021443,inf,inf,inf,80000,128,max,2,500,0.0001368648954667151
Rosenbrock,36,adjusted_mclmc:0.91.0,6.0,0.27610504627227783,velocity_verlet,standard,0.9141863584518433,True,0.0,0.0019604049157351255,inf,inf,inf,80000,128,max,2,1000,0.0002555650717113167
Rosenbrock,36,adjusted_mclmc:0.91.0,6.0,0.2725743055343628,velocity_verlet,standard,0.9053764343261719,True,0.0,0.0036628725938498974,inf,inf,inf,80000,128,max,2,5000,0.0005399662186391652
Rosenbrock,36,adjusted_mclmc:0.91.0,24.31857681274414,0.2558209002017975,velocity_verlet,standard,0.930930495262146,False,0.0,0.0024525101762264967,inf,inf,inf,80000,128,max,2,500,0.0004524769901763648
Rosenbrock,36,adjusted_mclmc:0.91.0,22.78443145751953,0.27584224939346313,velocity_verlet,standard,0.9191704392433167,False,0.0,0.0026027674321085215,inf,inf,inf,80000,128,max,2,1000,0.00044995680218562484
Rosenbrock,36,adjusted_mclmc:0.91.0,18.293231964111328,0.29883602261543274,velocity_verlet,standard,0.9049535989761353,False,0.0,0.0024805672001093626,inf,inf,inf,80000,128,max,2,5000,0.0004235115193296224
Rosenbrock,36,adjusted_mclmc:0.91.3,6.0,0.30148541927337646,velocity_verlet,standard,0.925946831703186,True,0.0,0.0011246567592024803,inf,inf,inf,80000,128,avg,2,500,0.00015355445793829858
Rosenbrock,36,adjusted_mclmc:0.91.3,6.0,0.2693314254283905,velocity_verlet,standard,0.9169069528579712,True,0.0,0.0018182536587119102,inf,inf,inf,80000,128,avg,2,1000,0.00027500055148266256
Rosenbrock,36,adjusted_mclmc:0.91.3,6.0,0.27300840616226196,velocity_verlet,standard,0.904295802116394,True,0.0,0.003668424906209111,inf,inf,inf,80000,128,avg,2,5000,0.0006208567065186799
Rosenbrock,36,adjusted_mclmc:0.91.3,11.795632362365723,0.26711028814315796,velocity_verlet,standard,0.9273719787597656,False,0.0,0.001541311969049275,inf,inf,inf,80000,128,avg,2,500,0.00025592255406081676
Rosenbrock,36,adjusted_mclmc:0.91.3,13.706887245178223,0.2865118384361267,velocity_verlet,standard,0.914939284324646,False,0.0,0.001920074108056724,inf,inf,inf,80000,128,avg,2,1000,0.00030153137049637735
Rosenbrock,36,adjusted_mclmc:0.91.3,14.644270896911621,0.3008596897125244,velocity_verlet,standard,0.9050801396369934,False,0.0,0.0022749716881662607,inf,inf,inf,80000,128,avg,2,5000,0.00035422484506852925
Rosenbrock,36,nuts,9.167722702026367,0.0649002194404602,velocity_verlet,standard,0.8103482723236084,False,0.0,0.0015411721542477608,inf,inf,inf,80000,128,,-1,1000,0.00028455269057303667
Rosenbrock,36,nuts,5.418351650238037,0.045384570956230164,velocity_verlet,standard,0.8894357681274414,True,0.0,0.003260731929913163,inf,inf,inf,80000,128,,-1,1000,0.000608860224019736
