model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,123.38064575195312,112.16424560546875,omelyan,standard,0.9942854642868042,False,0.0,0.09935421496629715,inf,inf,inf,20000,128,True,2,0.0058293757028877735
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,129.5037841796875,117.73069763183594,omelyan,standard,0.9932189583778381,False,0.0,0.10695184767246246,inf,inf,inf,20000,128,False,2,0.0064043025486171246
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,121.05589294433594,110.05078887939453,omelyan,standard,0.9929181933403015,False,0.8,0.17482513189315796,inf,inf,inf,20000,128,True,2,0.010123503394424915
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,129.55880737304688,117.78068542480469,omelyan,standard,0.9911359548568726,False,0.8,0.16090096533298492,inf,inf,inf,20000,128,False,2,0.009381737560033798
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,125.37454986572266,50.91313552856445,mclachlan,standard,0.9050724506378174,False,0.0,0.08384659141302109,inf,inf,inf,20000,128,True,2,0.004783327225595713
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,129.494873046875,50.46661376953125,mclachlan,standard,0.9051283001899719,False,0.0,0.08147457987070084,inf,inf,inf,20000,128,False,2,0.0046351877972483635
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,123.1108627319336,49.17901611328125,mclachlan,standard,0.9042392373085022,False,0.8,0.11957205086946487,inf,inf,inf,20000,128,True,2,0.006798955611884594
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,129.48977661132812,48.70248794555664,mclachlan,standard,0.9067772626876831,False,0.8,0.11190372705459595,inf,inf,inf,20000,128,False,2,0.006295989733189344
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,125.97502136230469,18.98076057434082,velocity_verlet,standard,0.9040913581848145,False,0.0,0.057462163269519806,inf,inf,inf,20000,128,True,2,0.003358261426910758
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,129.49942016601562,18.831695556640625,velocity_verlet,standard,0.9041621685028076,False,0.0,0.05652862787246704,inf,inf,inf,20000,128,False,2,0.003259559627622366
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,123.88878631591797,18.80727767944336,velocity_verlet,standard,0.9050524830818176,False,0.8,0.07402089983224869,inf,inf,inf,20000,128,True,2,0.00441112881526351
Gaussian_linear_1.0,12916,adjusted_mclmc:0.9,129.4677734375,18.45358657836914,velocity_verlet,standard,0.9050430059432983,False,0.8,0.07579074800014496,inf,inf,inf,20000,128,False,2,0.004476487636566162
Gaussian_linear_1.0,12916,nuts,0.0,0.0,velocity_verlet,standard,0.7997113466262817,False,0.0,0.009543806314468384,inf,inf,inf,20000,128,,-1,0.0005556944524869323
