model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,worst,ESS
IllConditionedGaussian216,100,mhmchmc:grid_edgeTrue,-13.160985946655273,-3.2915282249450684,mclachlan,gridsearch,0.98287433385849,False,0.0,0.0,0.7154962420463562,0.6953660845756531,0.7151756882667542,200,True,0.0
IllConditionedGaussian216,100,mclmc,3.048914909362793,1.6831568479537964,mclachlan,standard,1.0,False,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian216,100,mhmclmc:0.9,11.589473724365234,3.2859973907470703,mclachlan,standard,0.9690359234809875,False,0.0,0.0,0.6264200806617737,0.21475189924240112,0.5241313576698303,200,False,0.0
IllConditionedGaussian216,100,mhmclmc:0.9,28.501689910888672,2.804253101348877,mclachlan,standard,0.9877503514289856,False,0.0,0.0,0.8563967943191528,0.46136268973350525,0.8030754923820496,200,True,0.0
IllConditionedGaussian216,100,mhmclmc:st3:0.9,5.935108661651611,3.77718448638916,mclachlan,standard,0.9709214568138123,False,0.0,0.0,0.33456793427467346,0.005050631705671549,0.043793439865112305,200,False,0.0
IllConditionedGaussian216,100,nuts,0.0,0.0,mclachlan,standard,0.8024568557739258,False,0.0,0.0,inf,inf,inf,200,,0.0
IllConditionedGaussian216,100,mclmc,10.23909854888916,7.567361354827881,mclachlan,standard,1.0,True,0.0,0.0,inf,inf,inf,200,False,0.0
IllConditionedGaussian216,100,mhmclmc:0.9,10.0,8.936739921569824,mclachlan,standard,0.9707179069519043,True,0.0,0.0,0.24349848926067352,0.11387202143669128,0.21776187419891357,200,False,0.0
IllConditionedGaussian216,100,mhmclmc:0.9,10.0,9.030538558959961,mclachlan,standard,0.9701590538024902,True,0.0,0.0,0.24089668691158295,0.11275231838226318,0.21546290814876556,200,True,0.0
IllConditionedGaussian216,100,mhmclmc:st3:0.9,15.050262451171875,7.955169677734375,mclachlan,standard,0.9852129817008972,True,0.0,0.0,0.15240006148815155,0.005050631705671549,0.03952675312757492,200,False,0.0
IllConditionedGaussian216,100,nuts,0.0,0.0,mclachlan,standard,0.8416545987129211,True,0.0,0.0,inf,inf,inf,200,,0.0
