model,dims,sampler,L,step_size,integrator,tuning,acc_rate,preconditioning,inv_L_prop,ess_avg,ess_corr_avg,ess_corr_min,ess_corr_inv_mean,num_steps,num_chains,worst,num_windows,ESS
Gaussian_linear_1.0,2155,mclmc:fast_gridFalse,41.19637680053711,188.44200134277344,omelyan,gridsearch,1.0,False,0.0,0.06825938820838928,0.0,0.0,0.0,10000,4,True,1,0.002965159248560667
Gaussian_linear_1.0,2155,adjusted_mclmc:fast_gridFalse,74.80665588378906,68.00619506835938,omelyan,gridsearch,0.9897696375846863,False,0.0,0.14781998097896576,0.0,0.0,0.0,5000,4,True,1,0.01119572576135397
Gaussian_linear_1.0,2155,mclmc:fast_gridFalse,53.57665252685547,62.2005615234375,mclachlan,gridsearch,1.0,False,0.0,0.38759690523147583,0.0,0.0,0.0,10000,4,True,1,0.0301204826682806
Gaussian_linear_1.0,2155,adjusted_mclmc:fast_gridFalse,47.42267608642578,33.99112319946289,mclachlan,gridsearch,0.894432544708252,False,0.0,0.1499517560005188,0.0,0.0,0.0,5000,4,True,1,0.01206276286393404
Gaussian_linear_1.0,2155,mclmc:fast_gridFalse,26.580997467041016,33.303016662597656,velocity_verlet,gridsearch,1.0,False,0.0,0.3067484498023987,0.0,0.0,0.0,10000,4,True,1,0.014267371036112309
Gaussian_linear_1.0,2155,adjusted_mclmc:fast_gridFalse,38.20995330810547,12.39002513885498,velocity_verlet,gridsearch,0.918736457824707,False,0.0,0.10881265997886658,0.0,0.0,0.0,5000,4,True,1,0.00775374798104167
Gaussian_linear_1.0,2155,mclmc:st3,25.000640869140625,187.4493408203125,omelyan,standard,1.0,False,0.0,0.0625,inf,inf,inf,10000,4,False,1,0.002871088217943907
Gaussian_linear_1.0,2155,mclmc:st3,24.702342987060547,185.24957275390625,omelyan,standard,1.0,False,0.0,0.05780346691608429,inf,inf,inf,10000,4,False,2,0.002475860295817256
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,52.66518020629883,47.877403259277344,omelyan,standard,0.9976694583892822,False,0.0,0.10822504013776779,inf,inf,inf,5000,4,True,2,0.007713960949331522
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,60.23542404174805,54.75945281982422,omelyan,standard,0.9958175420761108,False,0.0,0.12202556431293488,inf,inf,inf,5000,4,False,2,0.008637439459562302
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,53.93955993652344,49.035919189453125,omelyan,standard,0.9966709613800049,False,0.8,0.1594894826412201,inf,inf,inf,5000,4,True,2,0.012335006147623062
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,60.302001953125,54.81999969482422,omelyan,standard,0.9950745105743408,False,0.8,0.12714557349681854,inf,inf,inf,5000,4,False,2,0.009579461999237537
Gaussian_linear_1.0,2155,mclmc:st3,37.983219146728516,57.175174713134766,mclachlan,standard,1.0,False,0.0,0.409836083650589,inf,inf,inf,10000,4,False,1,0.02804262563586235
Gaussian_linear_1.0,2155,mclmc:st3,38.13425827026367,56.56615447998047,mclachlan,standard,1.0,False,0.0,0.40322577953338623,inf,inf,inf,10000,4,False,2,0.0258397925645113
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,54.65318298339844,29.213947296142578,mclachlan,standard,0.9155535697937012,False,0.0,0.11864784359931946,inf,inf,inf,5000,4,True,2,0.008520831353962421
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,60.2113151550293,29.05261993408203,mclachlan,standard,0.9115278720855713,False,0.0,0.1180022805929184,inf,inf,inf,5000,4,False,2,0.008179566822946072
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,53.5837287902832,29.156211853027344,mclachlan,standard,0.9150996208190918,False,0.8,0.15632587671279907,inf,inf,inf,5000,4,True,2,0.011800738982856274
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,60.22213363647461,28.89166831970215,mclachlan,standard,0.8981075286865234,False,0.8,0.18728600442409515,inf,inf,inf,5000,4,False,2,0.013092631474137306
Gaussian_linear_1.0,2155,mclmc:st3,44.50123977661133,30.116424560546875,velocity_verlet,standard,1.0,False,0.0,0.3012048304080963,inf,inf,inf,10000,4,False,1,0.01219958532601595
Gaussian_linear_1.0,2155,mclmc:st3,44.41957092285156,30.201519012451172,velocity_verlet,standard,1.0,False,0.0,0.3030303120613098,inf,inf,inf,10000,4,False,2,0.012645422481000423
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,56.90315628051758,10.92843246459961,velocity_verlet,standard,0.9176150560379028,False,0.0,0.07763469219207764,inf,inf,inf,5000,4,True,2,0.006024432368576527
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,60.19745635986328,11.188735961914062,velocity_verlet,standard,0.9118267893791199,False,0.0,0.07160799950361252,inf,inf,inf,5000,4,False,2,0.005623551085591316
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,54.15067672729492,11.177414894104004,velocity_verlet,standard,0.9119330644607544,False,0.8,0.11038500815629959,inf,inf,inf,5000,4,True,2,0.009013972245156765
Gaussian_linear_1.0,2155,adjusted_mclmc:0.91.3,60.22514343261719,10.733076095581055,velocity_verlet,standard,0.9128209352493286,False,0.8,0.11861681938171387,inf,inf,inf,5000,4,False,2,0.009166678413748741
Gaussian_linear_1.0,2155,nuts,0.0,0.0,velocity_verlet,standard,0.8049285411834717,False,0.0,0.023980814963579178,inf,inf,inf,10000,4,,-1,0.0015979547752067447
